Module,SelfCPUtotal,CPUtotal,SelfCUDAtotal,CUDAtotal,SelfCPUMem,CPUMem,SelfCUDAMem,CUDAMem,NumberofCalls
COTR,,,,,,,,,
├──transformer,,,,,,,,,
│││├──conv2,17.386ms,65.293ms,186.601ms,740.105ms,0b,0b,1.40Gb,7.02Gb,200
│││├──bn2,32.166ms,43.360ms,40.694ms,43.585ms,0b,0b,2.81Gb,5.62Gb,200
│││├──conv3,17.313ms,65.028ms,81.373ms,319.292ms,0b,0b,5.62Gb,28.09Gb,200
│││├──bn3,32.333ms,43.561ms,71.162ms,74.053ms,0b,0b,11.24Gb,22.48Gb,200
│││├──relu,12.555ms,19.132ms,56.707ms,108.121ms,0b,0b,0b,0b,600
│││├──downsample,,,,,,,,,
││││├──0,17.488ms,65.490ms,160.011ms,633.665ms,0b,0b,5.62Gb,28.09Gb,200
││││└──1,33.132ms,44.668ms,71.664ms,74.628ms,0b,0b,11.24Gb,22.48Gb,200
││├──1,,,,,,,,,
│││├──conv1,17.458ms,65.542ms,91.760ms,360.728ms,0b,0b,1.40Gb,7.02Gb,200
│││├──bn1,32.623ms,43.992ms,41.166ms,44.097ms,0b,0b,2.81Gb,5.62Gb,200
│││├──conv2,17.315ms,65.023ms,186.528ms,739.905ms,0b,0b,1.40Gb,7.02Gb,200
│││├──bn2,32.678ms,44.020ms,41.228ms,44.138ms,0b,0b,2.81Gb,5.62Gb,200
│││├──conv3,17.365ms,65.212ms,81.576ms,319.998ms,0b,0b,5.62Gb,28.09Gb,200
│││├──bn3,32.478ms,43.782ms,71.308ms,74.234ms,0b,0b,11.24Gb,22.48Gb,200
│││└──relu,12.582ms,19.164ms,41.690ms,78.082ms,0b,0b,0b,0b,600
││├──2,,,,,,,,,
│││├──conv1,17.432ms,65.458ms,91.730ms,360.677ms,0b,0b,1.40Gb,7.02Gb,200
│││├──bn1,32.702ms,44.088ms,41.226ms,44.151ms,0b,0b,2.81Gb,5.62Gb,200
│││├──conv2,17.261ms,64.817ms,186.515ms,739.744ms,0b,0b,1.40Gb,7.02Gb,200
│││├──bn2,32.210ms,43.396ms,40.804ms,43.694ms,0b,0b,2.81Gb,5.62Gb,200
│││├──conv3,17.428ms,65.469ms,81.685ms,320.460ms,0b,0b,5.62Gb,28.09Gb,200
│││├──bn3,32.303ms,43.455ms,71.256ms,74.166ms,0b,0b,11.24Gb,22.48Gb,200
│││└──relu,12.588ms,19.145ms,41.635ms,77.980ms,0b,0b,0b,0b,600
││├──3,,,,,,,,,
